target_id,label
KIC-11553706,eclipsing_binary
KIC-6026737,exoplanet_transit
TIC-32408928,blend_contamination
TIC-364072092,exoplanet_transit
TIC-371188886,exoplanet_transit
TIC-140706664,blend_contamination
KIC-9455677,exoplanet_transit
TIC-270468559,exoplanet_transit
TIC-208297760,exoplanet_transit
TIC-259708416,exoplanet_transit
KIC-8227086,exoplanet_transit
TIC-438629686,exoplanet_transit
TIC-72401290,exoplanet_transit
TIC-236312126,exoplanet_transit
KIC-11145726,blend_contamination
KIC-8611344,stellar_variability_or_other
TIC-284592989,exoplanet_transit
TIC-153725446,exoplanet_transit
TIC-70514245,exoplanet_transit
KIC-8150320,exoplanet_transit
TIC-425163745,blend_contamination
KIC-3228988,eclipsing_binary
TIC-25334160,stellar_variability_or_other
TIC-190643105,exoplanet_transit
TIC-37718056,exoplanet_transit
KIC-9899280,eclipsing_binary
KIC-7204981,exoplanet_transit
KIC-11181260,exoplanet_transit
KIC-11038580,stellar_variability_or_other
KIC-7374746,eclipsing_binary
KIC-12600735,exoplanet_transit
KIC-2305543,eclipsing_binary
KIC-6525946,exoplanet_transit
KIC-10554999,exoplanet_transit
TIC-180145006,stellar_variability_or_other
KIC-7897936,stellar_variability_or_other
KIC-5213230,exoplanet_transit
KIC-2302997,exoplanet_transit
TIC-271424111,exoplanet_transit
KIC-5710069,exoplanet_transit
TIC-367616146,exoplanet_transit
KIC-8329346,exoplanet_transit
KIC-6784235,exoplanet_transit
TIC-464280516,exoplanet_transit
KIC-7885570,eclipsing_binary
KIC-8939650,eclipsing_binary
TIC-310002617,exoplanet_transit
TIC-51830822,exoplanet_transit
TIC-203096531,stellar_variability_or_other
TIC-233964924,exoplanet_transit
TIC-232971294,exoplanet_transit
TIC-135083444,blend_contamination
KIC-3556220,eclipsing_binary
KIC-9278575,exoplanet_transit
KIC-9426071,eclipsing_binary
KIC-8558011,exoplanet_transit
KIC-3228825,eclipsing_binary
TIC-208091447,exoplanet_transit
TIC-2621212,exoplanet_transit
TIC-33840683,exoplanet_transit
TIC-329709756,eclipsing_binary
TIC-262137985,exoplanet_transit
KIC-4469825,stellar_variability_or_other
TIC-383531859,blend_contamination
TIC-224313733,blend_contamination
KIC-4355503,eclipsing_binary
KIC-2849140,exoplanet_transit
TIC-200803270,exoplanet_transit
KIC-11502179,eclipsing_binary
TIC-13424053,exoplanet_transit
TIC-281286325,exoplanet_transit
KIC-6276477,exoplanet_transit
TIC-74534430,exoplanet_transit
KIC-6863161,stellar_variability_or_other
KIC-4843751,stellar_variability_or_other
TIC-387377484,exoplanet_transit
TIC-127328218,exoplanet_transit
KIC-8180063,eclipsing_binary
TIC-390207998,exoplanet_transit
KIC-7695093,eclipsing_binary
TIC-441546821,exoplanet_transit
KIC-12072872,exoplanet_transit
KIC-3326377,exoplanet_transit
TIC-307036187,exoplanet_transit
KIC-7747457,exoplanet_transit
KIC-10743597,stellar_variability_or_other
KIC-3748855,exoplanet_transit
KIC-12165063,stellar_variability_or_other
TIC-14956304,exoplanet_transit
TIC-272994016,exoplanet_transit
KIC-10001368,exoplanet_transit
KIC-2853828,blend_contamination
TIC-149833117,exoplanet_transit
KIC-5471566,eclipsing_binary
KIC-5389184,blend_contamination
KIC-5700330,eclipsing_binary
TIC-55390413,blend_contamination
TIC-167714792,exoplanet_transit
TIC-349790953,blend_contamination
TIC-29169215,exoplanet_transit
KIC-11090561,blend_contamination
TIC-307221757,exoplanet_transit
KIC-9773270,exoplanet_transit
TIC-82707763,blend_contamination
KIC-8845574,eclipsing_binary
KIC-4067336,exoplanet_transit
KIC-7115671,eclipsing_binary
TIC-392022763,exoplanet_transit
KIC-9904006,exoplanet_transit
KIC-8984706,eclipsing_binary
KIC-5096590,exoplanet_transit
TIC-219041246,exoplanet_transit
TIC-160165689,exoplanet_transit
KIC-9142742,stellar_variability_or_other
KIC-4913000,eclipsing_binary
KIC-5297298,exoplanet_transit
TIC-98833877,exoplanet_transit
TIC-45896295,exoplanet_transit
KIC-5288577,eclipsing_binary
KIC-9347009,exoplanet_transit
TIC-327996774,exoplanet_transit
KIC-7779077,exoplanet_transit
KIC-8949316,exoplanet_transit
KIC-5952448,eclipsing_binary
KIC-7601633,eclipsing_binary
KIC-12017109,exoplanet_transit
KIC-5211631,stellar_variability_or_other
KIC-10294509,eclipsing_binary
KIC-7841368,blend_contamination
TIC-299780329,exoplanet_transit
KIC-11296205,exoplanet_transit
TIC-150429313,exoplanet_transit
TIC-175604949,exoplanet_transit
KIC-10006581,exoplanet_transit
KIC-7978202,exoplanet_transit
KIC-6527016,blend_contamination
TIC-83299322,exoplanet_transit
KIC-7120108,exoplanet_transit
KIC-5513012,exoplanet_transit
KIC-10014875,stellar_variability_or_other
TIC-111991770,exoplanet_transit
KIC-7285616,eclipsing_binary
KIC-8742735,stellar_variability_or_other
KIC-4565985,eclipsing_binary
KIC-5474613,exoplanet_transit
TIC-157011920,exoplanet_transit
TIC-234595543,exoplanet_transit
KIC-5956656,exoplanet_transit
TIC-1950736,blend_contamination
TIC-322062001,stellar_variability_or_other
KIC-7416016,exoplanet_transit
KIC-3728701,exoplanet_transit
KIC-8487748,eclipsing_binary
TIC-141202786,exoplanet_transit
TIC-27966179,exoplanet_transit
KIC-9651602,exoplanet_transit
KIC-6690836,exoplanet_transit
KIC-9084778,eclipsing_binary
TIC-289895191,exoplanet_transit
KIC-5784803,stellar_variability_or_other
KIC-2852810,stellar_variability_or_other
TIC-154181821,exoplanet_transit
TIC-150247134,stellar_variability_or_other
KIC-3337548,eclipsing_binary
KIC-7625138,exoplanet_transit
KIC-8259713,exoplanet_transit
KIC-11706658,eclipsing_binary
KIC-6608090,stellar_variability_or_other
TIC-267263253,exoplanet_transit
TIC-116257066,blend_contamination
TIC-425721385,blend_contamination
KIC-4551663,blend_contamination
TIC-310267134,blend_contamination
KIC-6947164,eclipsing_binary
KIC-3230206,eclipsing_binary
TIC-58461209,exoplanet_transit
KIC-11336883,exoplanet_transit
KIC-4136659,eclipsing_binary
KIC-11244571,exoplanet_transit
TIC-374177909,blend_contamination
KIC-12061238,blend_contamination
KIC-8192427,stellar_variability_or_other
TIC-209459275,exoplanet_transit
TIC-63717709,exoplanet_transit
TIC-107776260,exoplanet_transit
KIC-5696918,eclipsing_binary
KIC-8509781,eclipsing_binary
KIC-6631721,exoplanet_transit
KIC-6025174,exoplanet_transit
TIC-141770198,exoplanet_transit
KIC-9002237,eclipsing_binary
TIC-120585579,blend_contamination
KIC-9964670,blend_contamination
KIC-6312171,stellar_variability_or_other
TIC-208030798,blend_contamination
TIC-224328450,exoplanet_transit
KIC-9813499,exoplanet_transit
KIC-9011955,exoplanet_transit
KIC-5702770,exoplanet_transit
KIC-9963524,exoplanet_transit
TIC-100474173,exoplanet_transit
KIC-8162376,eclipsing_binary
TIC-119069946,exoplanet_transit
TIC-428673146,exoplanet_transit
KIC-2720828,blend_contamination
KIC-6842345,exoplanet_transit
KIC-10535807,eclipsing_binary
KIC-8025596,exoplanet_transit
KIC-8094942,stellar_variability_or_other
KIC-5908086,stellar_variability_or_other
KIC-4833421,exoplanet_transit
TIC-335813590,exoplanet_transit
TIC-468574941,exoplanet_transit
KIC-7362450,eclipsing_binary
TIC-95512789,exoplanet_transit
KIC-9471539,stellar_variability_or_other
KIC-8081482,exoplanet_transit
KIC-4262040,exoplanet_transit
TIC-302924206,exoplanet_transit
KIC-4380560,eclipsing_binary
TIC-45368525,exoplanet_transit
TIC-266980320,exoplanet_transit
KIC-9652632,eclipsing_binary
TIC-384984325,exoplanet_transit
TIC-48451130,exoplanet_transit
TIC-9102327,blend_contamination
KIC-7434875,exoplanet_transit
KIC-7919653,eclipsing_binary
KIC-5436502,exoplanet_transit
KIC-8179286,eclipsing_binary
KIC-3657176,blend_contamination
TIC-6893917,exoplanet_transit
TIC-166184426,blend_contamination
TIC-85593751,exoplanet_transit
KIC-6768616,exoplanet_transit
KIC-8456679,exoplanet_transit
KIC-11026304,exoplanet_transit
KIC-3328052,eclipsing_binary
TIC-220460087,exoplanet_transit
KIC-3752110,exoplanet_transit
KIC-11774387,eclipsing_binary
KIC-8043721,stellar_variability_or_other
TIC-352301423,exoplanet_transit
TIC-32260988,exoplanet_transit
KIC-11461844,exoplanet_transit
TIC-80682484,exoplanet_transit
KIC-7504778,exoplanet_transit
TIC-307716123,exoplanet_transit
TIC-80275202,blend_contamination
TIC-70797900,stellar_variability_or_other
TIC-328933398,exoplanet_transit
KIC-11506235,eclipsing_binary
TIC-202869426,exoplanet_transit
KIC-7539174,stellar_variability_or_other
TIC-470822809,exoplanet_transit
TIC-470169396,exoplanet_transit
TIC-219467837,blend_contamination
TIC-323658120,blend_contamination
KIC-5979863,eclipsing_binary
TIC-237201858,exoplanet_transit
TIC-317597583,exoplanet_transit
KIC-3955866,blend_contamination
KIC-6137681,eclipsing_binary
TIC-219803922,exoplanet_transit
KIC-6206559,eclipsing_binary
KIC-6036286,exoplanet_transit
KIC-8546542,exoplanet_transit
KIC-8352537,exoplanet_transit
TIC-47667,stellar_variability_or_other
KIC-7032117,eclipsing_binary
KIC-9520668,blend_contamination
TIC-147437399,stellar_variability_or_other
KIC-6880531,stellar_variability_or_other
TIC-267373896,exoplanet_transit
KIC-7900695,stellar_variability_or_other
TIC-62682198,exoplanet_transit
TIC-272635712,stellar_variability_or_other
TIC-353146308,exoplanet_transit
TIC-159332859,exoplanet_transit
KIC-11601584,exoplanet_transit
TIC-158561566,exoplanet_transit
KIC-1434395,blend_contamination
TIC-81693792,exoplanet_transit
TIC-294668702,exoplanet_transit
TIC-143526444,blend_contamination
KIC-5201593,eclipsing_binary
KIC-7529266,exoplanet_transit
TIC-214243287,stellar_variability_or_other
KIC-8285254,eclipsing_binary
TIC-294176967,blend_contamination
TIC-55488511,exoplanet_transit
TIC-148782377,exoplanet_transit
TIC-382391899,exoplanet_transit
KIC-5564082,exoplanet_transit
KIC-7815744,exoplanet_transit
KIC-5480884,stellar_variability_or_other
KIC-11804465,exoplanet_transit
TIC-29918916,exoplanet_transit
KIC-5529738,eclipsing_binary
KIC-8625925,exoplanet_transit
KIC-7031948,eclipsing_binary
TIC-179159972,blend_contamination
KIC-11455795,exoplanet_transit
TIC-228381868,exoplanet_transit
TIC-296739893,exoplanet_transit
KIC-9873254,exoplanet_transit
KIC-11145831,blend_contamination
KIC-8624520,exoplanet_transit
TIC-229091748,blend_contamination
KIC-9777990,eclipsing_binary
KIC-11671646,exoplanet_transit
KIC-11502172,eclipsing_binary
KIC-6359929,exoplanet_transit
KIC-4472818,exoplanet_transit
TIC-7562528,exoplanet_transit
KIC-8218379,exoplanet_transit
TIC-185482513,blend_contamination
TIC-250189842,exoplanet_transit
TIC-44792534,exoplanet_transit
TIC-165527918,exoplanet_transit
KIC-6525398,stellar_variability_or_other
KIC-9576197,eclipsing_binary
TIC-377780790,exoplanet_transit
KIC-7336754,eclipsing_binary
TIC-154940895,exoplanet_transit
TIC-7904580,blend_contamination
TIC-235664497,exoplanet_transit
TIC-134404603,stellar_variability_or_other
KIC-6508221,exoplanet_transit
KIC-2836076,stellar_variability_or_other
TIC-153027658,blend_contamination
KIC-10664150,stellar_variability_or_other
KIC-9906841,stellar_variability_or_other
KIC-5696518,stellar_variability_or_other
KIC-3342463,stellar_variability_or_other
KIC-10342316,eclipsing_binary
TIC-353893493,exoplanet_transit
KIC-8700771,exoplanet_transit
TIC-63303499,blend_contamination
KIC-10292000,stellar_variability_or_other
KIC-11701407,exoplanet_transit
KIC-5734702,stellar_variability_or_other
KIC-6516185,exoplanet_transit
TIC-299176311,stellar_variability_or_other
TIC-138225319,exoplanet_transit
TIC-26078330,exoplanet_transit
KIC-6387450,eclipsing_binary
TIC-63898957,exoplanet_transit
KIC-11922290,stellar_variability_or_other
TIC-310822679,exoplanet_transit
KIC-10019708,exoplanet_transit
KIC-3335816,eclipsing_binary
TIC-106224627,exoplanet_transit
TIC-202282233,exoplanet_transit
TIC-273231214,exoplanet_transit
TIC-48448369,exoplanet_transit
TIC-291198795,exoplanet_transit
KIC-5688997,eclipsing_binary
KIC-3965879,stellar_variability_or_other
KIC-4862332,blend_contamination
TIC-294780517,blend_contamination
KIC-5039053,stellar_variability_or_other
KIC-3734868,eclipsing_binary
KIC-11303811,stellar_variability_or_other
TIC-231451287,exoplanet_transit
TIC-369327947,exoplanet_transit
TIC-75656058,stellar_variability_or_other
KIC-12470844,exoplanet_transit
KIC-9466486,exoplanet_transit
KIC-8181016,eclipsing_binary
TIC-350043412,exoplanet_transit
KIC-9031703,exoplanet_transit
KIC-5513648,exoplanet_transit
KIC-7375348,exoplanet_transit
TIC-337025682,exoplanet_transit
TIC-67031480,exoplanet_transit
KIC-10155321,stellar_variability_or_other
TIC-456910600,exoplanet_transit
TIC-459728249,exoplanet_transit
KIC-5006817,stellar_variability_or_other
TIC-73540072,exoplanet_transit
KIC-9099773,exoplanet_transit
KIC-10481054,eclipsing_binary
TIC-16920150,stellar_variability_or_other
KIC-4650733,exoplanet_transit
TIC-281909674,exoplanet_transit
TIC-132313173,exoplanet_transit
TIC-117979897,exoplanet_transit
TIC-620780629,exoplanet_transit
TIC-302908969,exoplanet_transit
KIC-4466677,exoplanet_transit
TIC-129979528,exoplanet_transit
KIC-10489345,exoplanet_transit
